question_id,reasons,stem
q003092-f13c3048,chart_missing,"Abhi, Bhavya and Satish starts working together to complete work ‘M’. After 5 days, Bhavya and Satish replaced by Neeraj and Veer. After 5 more days Abhi left t"
q003126-990c5c6c,fraction_flattened,What is cost price of the article? A. On selling the article at 119 Rs. shopkeeper earn profit % equal to cost price of article. 2 B. If 14 7 % discount is give
q003143-b54fd1d9,fraction_flattened,In which year total students appeared in both exam is 3rd highest?
q003144-9e986a75,fraction_flattened,"What is the respective ratio between students appeared in exam A in year 2011, 2012 and 2014 together to the students appeared in exam B in year 2013, 2014 and "
q003145-7031be86,fraction_flattened,Find the difference between average number of students appeared in exam A and average of students appeared in exam B in starting four years?
q003146-647d0dd8,fraction_flattened,Students appeared in exam A in 2013 is how much less than students appeared in exam B in 2012?
q003147-b79f61a4,fraction_flattened,Total number of students appeared in both exam in 2012 is what percent more than total number of students appeared in both exam in 2011?
q003153-c4c82428,fraction_flattened,Number of songs recorded by Arijit Singh in all years is what percent more/less than total songs recorded in 2008 ? 2 7 2
q003172-e5b7adb5,fraction_flattened,"What is the respective ratio between players participated for state level championship in year 2001, 2002 and 2004 together to the players participated for nati"
q003173-649d199b,fraction_flattened,Find the difference between average number of players participated for state level championship and average of players participated for national level champions
q003174-32674cdf,fraction_flattened,Players participated for state level championship in 2003 is how much more than players participated for national level championship in 2002?
q003175-049bd184,fraction_flattened,Total wheat produced by Uttar Pradesh is how much more than total wheat produced by Madhya Pradesh in the all three given years?
q003176-f9de10b9,fraction_flattened,Total wheat produced by Madhya Pradesh in the year 2016 & 2017 together is what percent more than total wheat produced by Haryana in the year 2015 & 2016 togeth
q003177-eca29ccc,fraction_flattened,"Find the difference between average quantity of wheat produced by Uttar Pradesh, Madhya Pradesh and Haryana in the year 2015 and average quantity of wheat produ"
q003178-deb4f2be,fraction_flattened,Find the ratio between total wheat produced by Rajasthan & Punjab together in the year 2017 to total wheat produced by Haryana & Rajasthan together in the year 
q003179-9c23b200,fraction_flattened,Find the total wheat produced by Rajasthan and Uttar Pradesh in the year 2016 and 2017 together?
q003180-d621183e,fraction_flattened,Total number of candidates selected from Kerala & Maharashtra together in the year 2014 is what percent more/less than total number of candidates selected from 
q003181-97e741f5,fraction_flattened,If total number of candidates selected from Karnataka in the year 2014 is 50% more than total number of candidates selected from Madhya Pradesh in the year 2013
q003182-bbd843a1,fraction_flattened,Find the ratio between total number of candidates selected from Kerala to total number of selected candidates from Bihar in the given three years?
q003183-d4fb787a,fraction_flattened,"Total number of candidates selected from Maharashtra, Madhya Pradesh and Bihar together in the year 2013 is what percent more/less than total number of candidat"
q003192-6c229ab5,fraction_flattened,Time taken by train ‘A’ to cross a platform of length 250 m length is what percent less than time taken by train ‘D’ to overtake train ‘F’ when they move in sam
q003476-99193bef,chart_missing,"If 30% of total bikes manufactured by D in 2021 are brand X bikes and remaining are brand Y bikes, then find the difference between brand X and brand Y bikes ma"
q003488-262640c5,language_hindi|option_empty,The girl who is last in the row didn't get 7th rank in the class.
q004004-c6f8f807,context_missing,Calculate the square of the second element from the left end in step 3 of the given input?
q004006-a857fbbb,context_missing,Which of the following is the second element from the right end in step 1 of the given input?
q004007-ea45f91e,context_missing,Find the sum of the first element from the left end in step 2 and in step 3 of the given input?
q004008-8009f2f1,option_bleed|context_missing,What will be the difference between the first and the last element from the left end in step 1 of the given input?
q004044-95bbd62a,option_bleed,"821, 784, 743, ? , 653, 600"
q004045-00482f34,option_bleed,"I. 2x^2-11x+12=0
II. 2y^2-17y+36=0"
q004056-9428287c,option_bleed,What is the significance of understanding the relationship between extreme events and water availability for future-proofed planning for global change?
q004074-a663cf60,option_bleed,"What was the purpose of garrison government, and how did it relate to the interests of the colonial upper classes in America?"
q004078-6b7ca350,option_bleed,(A) The government has introduced new policies to promote renewable energy.
q004095-a4b2473b,option_duplicate,The one who likes boxing lives in flat __ on floor ___.
q004099-54b59d08,option_duplicate,Which of the following can be hypothesized from the above statement?
q004138-c9264018,option_bleed,Ratio of present age of P and Q is 6: 7 and present age of S is five years more than R. Find the present age of R? Statement I: Sum of the age of Q and R is 34 
q004139-029b2b38,option_bleed,The marked price of articles A and B are in the ratio of 4: 3. The discount percentage given on these two articles are 10% and 20% respectively. What is the cos
q004140-88053bd5,option_bleed,"The average marks of Hindi, English, Mathematics and Science is 35 and maximum marks a student can obtain in each subject is 50. What is the marks obtained by t"
q004183-8d5e3dd9,option_bleed,Ratio of present age of P and Q is 6: 7 and present age of S is five years more than R. Find the present age of R? Statement I: Sum of the age of Q and R is 34 
q004185-49362cbb,option_bleed,"The average marks of Hindi, English, Mathematics and Science is 35 and maximum marks a student can obtain in each subject is"
q004186-41209cda,chart_missing,"If the value of absent students in Section C is greater than 7 and the total students (Present + absent) in school C is a square number, then find the absent st"
q004187-ecbb9b22,chart_missing,"In 2003, number of people joined gym A is 33.33% more than the previous year and total number of people in gym A in 2003 is"
q004188-1038ef7f,chart_missing,The total fund of company Q is increased by X% and the sum of fund donated to all NGO’s is increased to Rs.2000. Find the value of X.
q004195-f68eb0cc,option_bleed,If a boat travels P km upstream in 44 minutes and 2P km downstream in 1 hour 6 minutes. Find speed of boat in still water is what percentage of the speed of str
q004238-80f6683c,context_missing,Four of the following five pairs of points are alike in a certain way based on the directions in the given arrangement and thus form a group. Which one of the f
q004398-2993f816,context_missing,Four of the following five points are alike in a certain way based on the directions with respect to point J in the given arrangement and thus form a group. Whi
q004401-03a8a80e,option_bleed,"If point V is 5m east of point L, then the distance between F and V is twice that of which of the following points?"
q004824-56049e83,fraction_flattened,"A shopkeeper marks up price of LED 60% above its cost price and gives three successive discounts of 1 12 2%, d% and 25%. If shopkeeper made a loss 16% on LED. F"
q004825-db7a8ab2,stem_truncated,A shopkeeper marked up a shirt 50% above the cost price and allows successive discounts of 111/9% and 10% on it. If the difference between profit earned and
q004828-6dbc3e3b,fraction_flattened,Retailer sold one article at 33 3 % profit and another at 100% profit. Find his overall profit percentage if the selling price of both the article is same? 2
q004830-fd70b18c,fraction_flattened,"A person sold an article for Rs 802. If it is sold for Rs 38 more, then selling price would be 20% more than cost price. What is the profit percent when article"
q004833-194e5a74,fraction_flattened,Cost price of article A is Rs 600 more than that of B and selling price of A is Rs 1200 more than that of B. If difference between profit earned on selling thes
