question_id,reasons,stem
q019961-8ab9b215,option_bleed,Note: Ratio of total population of five cities to total male population of these cities is 3: 2.
q019963-6913d775,option_bleed,× = 32x = => 15 : 2 Sol. c) Total male population of all cities = Females of city K is what percent of the males of city M.
q019964-22d5eb6b,chart_missing,"Gaurav, Abhishek and Neeraj work in a rotation to complete the job on Tuesday with only 1 person working in a minute. Who should start the job so that the job i"
q019966-7248deea,option_bleed|chart_missing,Sol b) On Tuesday Gaurav = 50 minutes Arunoday = × = 500 minutes Abhishek = 25 minutes (Gaurav + Arunoday)’s 5 minutes work = + = + Remaining work = 1 − Require
q019967-17710376,stem_truncated|chart_missing,"=5 minutes On Wednesday, all of them started the work together. After working for 2 minutes Gaurav left. All except Gaurav worked for another 3 minutes and then"
q019968-5513c6c1,chart_missing,": 22 × x 11x : = 4 : 11 4 16 If Ram and Tinku are 600 km apart and they start moving towards each other with the speed of Tuesday, then they meet after 4 hours."
q019969-e0a8d6fe,option_bleed|chart_missing,Distance covered by Tinku on Monday = × 9 = 360 km Time taken by Tina on Monday is what percent more or less than time taken by Meena on Monday.
q019970-0a7143ac,option_bleed|chart_missing,"Time taken by tina on Monday = = × = 7 hours Similarly, time taken by Meena on Monday = 8 hours Required percentage = × 100 = % => 12 % What is the ratio of dis"
q019972-9c875ed4,option_bleed,Total of C and E = 49000 Profit of A is what % of profit of C if profit of C is % of more than profit of A.
q019974-18c40860,chart_missing,Distance travel by car P = 1500 + 3000 = 4500 km Total Time taken = 4500/40 = 112.5 hour Time taken by car R from Delhi to City A =1000/60 = 50/3 hours Time tak
q019975-72ae2fb8,option_bleed|chart_missing,Distance between city A and city E =√10002 +15002 = √1000000 + 2250000 = √3250000 = 500 √13km Approximate time taken by car ‘T’ = 500√13/75 ≈ 24 hours Car Q and
q019976-6fde966c,equation_degraded|option_bleed|chart_missing,"A thief runs in a car S from Delhi to city E and after 6 hours of running, 48 SOL. 1500×3/5 = 900 km Time taken by car R to cover this distance = 900/60 = 15 ho"
q019979-bfc73d02,option_bleed,Speed of Boat C in still water = 40 × 110% = 44 km/h Speed of stream = 15 × 120% = 18 km/h Time taken by Boat C to cover the distance of 91 km upstream = 91/ (4
q019982-918eb7a2,option_bleed,Sol. e) Monthly income of C in April be Rs. x Monthly income of C in November be Rs. y Monthly expenditure of C in April = x*60/100 Monthly savings of C in Apri
q020064-15e5426d,stem_truncated,"Find the wrong number in the series: 360, 354, 347, 322, 273, 152 (a) 152 (b) 322 (c) 347 (d) 354 (e) 360 21.Ans (d) 22.(Ans a) For"
q020065-57663e31,option_bleed,"120, 145, 168, 197, 224, 255, 288"
q020111-a4bfa56a,stem_truncated,How many foreign banks operating under the wholly owned subsidiary (WOS) model have been appointed as agency banks by the
q020123-caaa9c42,option_bleed,What is one of the major consequences of the decline in nuclear power?
q020182-58b81b13,context_missing,"Statement: As global labor shortages, particularly in sectors like construction, persist, companies are increasingly turning to immersive training environments."
q020184-5803a84f,option_bleed,"Statement: To combat climate change, many countries are accelerating investments in renewable energy and sustainable technologies. A recent focus is on developi"
q020190-466864ed,context_missing,"Seven persons – M, N, O, P, Q, R and S go to mall (but not necessarily in the same order) on seven different days of the week starting from Monday to Sunday. S "
q020204-2a215883,fraction_flattened|chart_missing,Find the difference between the total number of metallic toys sold by A and C together and the total number of unsold toys by B and D together.
q020205-84c7e9ff,fraction_flattened|chart_missing,The total number of toys manufactured by E is 40% more than that of C and the total toys sold by E is half of the total toys sold by C and D together. The total
q020206-bd3cd98a,fraction_flattened|chart_missing,Total number of unsold metallic toys by D is 10% of the total number of metallic toys sold by same company. Find the difference between the total number of plas
q020207-1a3f97b2,fraction_flattened|chart_missing,Find the ratio of the total number of plastic toys sold by A and D together to the total number of toys unsold C and B together.
q020208-fe832205,fraction_flattened|chart_missing,The average number of toys sold by C and the plastic toys sold by A is what percentage of the total metallic toys sold by D?
q020214-2b425392,chart_missing,Find the ratio between the total number of erasers in C and B together to the number of pens in A.
q020215-546e7bb1,chart_missing,"The number of sharpeners in A is P times that of erasers, and the number of pens in B is Q times that of erasers. Find which of the following statement/s is/are"
q020216-710d4138,chart_missing,Find the total number of sharpeners in all the boxes together.
q020217-504f9d30,chart_missing,"If the average number of pens, sharpeners and erasers in A is X, then find which of the option is correct about X."
q020231-3333ef3a,chart_missing,"In 2013, 20% of the total number of people who vote in city C were invalid, and the ratio of total invalid votes in city D to city C was 7:4, respectively. Find"
q020232-0f77abcf,chart_missing,"In 2018, the ratio of total males to total females who vote in city A was 5:7, respectively. 3/8th of the total number of people who vote in city A were invalid"
q020233-c9d66f23,chart_missing,"If the difference between the total number of people who vote in city B in 2018 and the total number of people who vote in 2013 in city D is X, then find which "
q020234-2972bd6f,chart_missing,The total number of people who vote in city E in 2013 was 25% more than the average number of people who votes in cities C and A in 2018. If 66.67% of the total
q020235-90de459e,chart_missing,The total number of people who vote in city A in 2020 is 3/5th of the total number of people who votes in 2013 in city D. If the ratio of males to females who v
q020236-4c2607d9,chart_missing,Find the ratio of the difference between the total number of people who votes in cities D and A in 2013 and the average number of people who votes in cities in 
q020254-6bf212db,stem_truncated,How many foreign banks operating under the wholly owned subsidiary (WOS) model have been appointed as agency banks by the
q020263-df7c6592,chart_missing,"If the average number of pens, sharpeners and erasers in A is X, then find which of the option is correct about X."
q020264-b71b4752,chart_missing,Find the ratio of the difference between the total number of people who votes in cities D and A in 2013 and the average number of people who votes in cities in 
q020323-4ad8e166,option_bleed,Which among the following two boxes are vacant?
q020334-8278db9b,option_bleed,Which of the following is not true? based on the information given below:
