question_id,reasons,stem
q008188-07ba7a1f,option_bleed,"Which of the following statements is true?
I. G does not live on prime numbered floor
II. A lives above the one who likes red III. At least two floors gap betwe"
q008193-19340361,option_bleed,What did Dr. Smith say about his day when Dr. Johnson asked him how it was going?
q008197-b8bd058c,option_bleed,What did the two doctors feel grateful for with regard to their profession?
q008230-421b1629,fraction_flattened,"A and B started a business by investing Rs.6000 and Rs. X. After six months, B left the business 2 and C joined with 66 3% investment of B. At the end of a year"
q008241-e8237f4f,fraction_flattened,"In 2010, the ratio of males to females visited pub A is 3:2. If 33 3% of the total males and 1/4 of total females went by their private vehicle, then find the n"
q008246-2313c349,option_bleed,What profit is earned by selling a bike for Rs 50000. i. The ratio of selling price and cost price is 2:1. ii. The profit percentage by selling a bike is equal 
q008247-1a4d0944,option_bleed,"The average age of A, B and C is 32 years, what will the age of A after three years. i. The ratio between present age of A to that of C is 11 : 12, while age of"
q008248-bd384d6e,option_bleed,"In how many days Arun alone completes the work. i. Arun and Amit can complete a piece of work in 9 days.
II. Akanksha and Arun can complete a piece of work in 3"
q008314-93500c1d,chart_missing,The ratio of males who visited zoo on Monday to the females who visited on Sunday is 7:9 respectively. The sum of males visited zoo on Monday and females visite
q008321-08a1fb64,option_bleed,"If it is possible to make a five-letter meaningful word with the second, fourth, sixth, ninth and eleventh letters of the word “ORIGINATIVE”, then how many mean"
q008324-37ef9eed,option_bleed|context_missing,"A family consists of eight members with three generations. who among the following person is the uncle of M? Statement I: G is the mother of P, who is the only "
q008325-d6a72c7f,option_bleed,"Seven persons – P, Q, R, S, T, U and V are reading books on seven different days from Monday to Sunday of the same week. Who reads the book immediately before P"
q008581-7ca89c97,brand_residue,Which of the following statements can be logically inferred from the passage? (I) The Indian government’s infrastructural and fiscal policies are not only suppo
q008582-4232380c,brand_residue,Identify the statement(s) that is/are factually and contextually CORRECT based on the passage. (I) The EV industry in India initially faced setbacks due to caut
q008583-f52dd85f,brand_residue,Which of the following statement(s) present an incorrect interpretation of the ideas conveyed in the passage? (I) The integration of artificial intelligence in 
q008584-fd0e7660,brand_residue,Identify the statement(s) that correctly infer the nature of challenges faced by India’s EV sector according to the passage. (I) The EV industry continues to be
q008585-4a2258b6,brand_residue,"Which of the following statement(s) reflect an incorrect or skewed interpretation of the role of government policies in India’s EV transition, based on the pass"
q008586-a61ad31e,brand_residue,Which of the following phrases is most suitable to fill the given blank?
q008587-7a108524,brand_residue,Which of the following words is most similar in meaning to “fraught” as used in the passage?
q008588-f5aaf9f6,brand_residue,Which of the following words is most similar in meaning to “ushered” as used in the passage?
q008589-01f99700,context_missing,"In each of the questions, two words are omitted, which are replaced by blanks. Choose the best combination of the words that can fit into the given blank in the"
q008595-d8c609c2,option_bleed,Which of the following best summarizes the central argument presented in the passage?
q008596-ea7f7661,option_bleed,What assumption does the author make about the relationship between language skills and job performance?
q008608-fdc67fcf,language_hindi|option_empty,"Two roots of equation x2 – Px + 84 = 0 is ‘a’ and ‘b’, and a-b = 5. Quantity I: Value of 2P Quantity II: Value of b2 – a + 1"
q008611-4d309418,stem_too_short|language_hindi,Find the 50% of Q + R? Q
q008644-65f61eec,context_missing,"Statement: In a recent national policy announcement, the government mandated that all private companies with over 100 employees must ensure at least 30% female "
q008684-8b0aef43,option_duplicate,What is the difference between the money deposited by Y and K? Y
